R_arrest_pct,one_shaft_pct,five_shafts_pct,battery_pct
7.330827067669171981e+01,4.850127551020408134e+01,8.785714285714284699e+01,3.999999999999998224e+00
7.343358395989974952e+01,4.866723356009070045e+01,8.790476190476191221e+01,3.999999999999998224e+00
7.355889724310776501e+01,4.883347505668933763e+01,8.795238095238093479e+01,3.999999999999998224e+00
7.368421052631578050e+01,4.899999999999999289e+01,8.800000000000001421e+01,3.999999999999998224e+00
7.380952380952381020e+01,4.916680839002268755e+01,8.804761904761905100e+01,3.999999999999998224e+00
7.393483709273182569e+01,4.933390022675735764e+01,8.809523809523810201e+01,3.999999999999998224e+00
7.406015037593985539e+01,4.950127551020407424e+01,8.814285714285713880e+01,3.999999999999998224e+00
7.418546365914787089e+01,4.966893424036280180e+01,8.819047619047620401e+01,3.999999999999998224e+00
7.431077694235588638e+01,4.983687641723354744e+01,8.823809523809522659e+01,3.999999999999998224e+00
7.443609022556391608e+01,5.000510204081633248e+01,8.828571428571429180e+01,3.999999999999998224e+00
7.456140350877193157e+01,5.017361111111110716e+01,8.833333333333331439e+01,3.999999999999998224e+00
7.468671679197994706e+01,5.034240362811790703e+01,8.838095238095237960e+01,3.999999999999998224e+00
7.481203007518797676e+01,5.051147959183673919e+01,8.842857142857143060e+01,3.999999999999998224e+00
7.493734335839599225e+01,5.068083900226757521e+01,8.847619047619048160e+01,3.999999999999998224e+00
7.506265664160400775e+01,5.085048185941043641e+01,8.852380952380953261e+01,3.999999999999998224e+00
7.518796992481202324e+01,5.102040816326529438e+01,8.857142857142858361e+01,3.999999999999998224e+00
7.531328320802003873e+01,5.119061791383218463e+01,8.861904761904760619e+01,3.999999999999998224e+00
7.543859649122806843e+01,5.136111111111111427e+01,8.866666666666667140e+01,3.999999999999998224e+00
7.556390977443608392e+01,5.153188775510204778e+01,8.871428571428572241e+01,3.999999999999998224e+00
7.568922305764409941e+01,5.170294784580497094e+01,8.876190476190475920e+01,3.999999999999998224e+00
7.581453634085212911e+01,5.187429138321996902e+01,8.880952380952381020e+01,3.999999999999998224e+00
7.593984962406014461e+01,5.204591836734695676e+01,8.885714285714286120e+01,3.999999999999998224e+00
7.606516290726817431e+01,5.221782879818594125e+01,8.890476190476191221e+01,3.999999999999998224e+00
7.619047619047618980e+01,5.239002267573695804e+01,8.895238095238096321e+01,3.999999999999998224e+00
7.631578947368420529e+01,5.256249999999997868e+01,8.899999999999998579e+01,3.999999999999998224e+00
7.644110275689223499e+01,5.273526077097506715e+01,8.904761904761905100e+01,3.999999999999998224e+00
7.656641604010025048e+01,5.290830498866212395e+01,8.909523809523808779e+01,3.999999999999998224e+00
7.669172932330826598e+01,5.308163265306122014e+01,8.914285714285713880e+01,3.999999999999998224e+00
7.681704260651629568e+01,5.325524376417234151e+01,8.919047619047620401e+01,3.999999999999998224e+00
7.694235588972431117e+01,5.342913832199547386e+01,8.923809523809524080e+01,3.999999999999998224e+00
7.706766917293232666e+01,5.360331632653062428e+01,8.928571428571429180e+01,3.999999999999998224e+00
7.719298245614034215e+01,5.377777777777777146e+01,8.933333333333332860e+01,3.999999999999998224e+00
7.731829573934835764e+01,5.395252267573695804e+01,8.938095238095237960e+01,3.999999999999998224e+00
7.744360902255638734e+01,5.412755102040816979e+01,8.942857142857143060e+01,3.999999999999998224e+00
7.756892230576440284e+01,5.430286281179138541e+01,8.947619047619048160e+01,3.999999999999998224e+00
7.769423558897243254e+01,5.447845804988662621e+01,8.952380952380953261e+01,3.999999999999998224e+00
7.781954887218046224e+01,5.465433673469388509e+01,8.957142857142856940e+01,3.999999999999998224e+00
7.794486215538847773e+01,5.483049886621316205e+01,8.961904761904762040e+01,3.999999999999998224e+00
